"INSEE_COM","Fibre_it","annee"
"01093",0,2021
"01093",0,2022
"01093",0,2023
"01093",0,2024
"01094",1,2018
"01094",1,2019
"01094",1,2020
"01094",1,2021
"01094",1,2022
"01094",1,2023
"01094",1,2024
"01095",0,2018
"01095",0,2019
"01095",0,2020
"01095",0,2021
"01095",0,2022
"01095",0,2023
"01095",0,2024
"01096",0,2018
"01096",0,2019
"01096",0,2020
"01096",0,2021
"01096",0,2022
"01096",0,2023
"01096",1,2024
"01097",0,2018
"01097",1,2019
"01097",1,2020
"01098",0,2018
"01098",0,2019
"01098",0,2020
"01098",0,2021
"01098",1,2022
"01098",1,2023
"01098",1,2024
"01099",0,2018
"01099",1,2019
"01099",1,2020
"01099",1,2021
"01099",1,2022
"01099",1,2023
"01099",1,2024
"01100",0,2018
"01100",0,2019
"01100",0,2020
"01100",0,2021
"01100",0,2022
"01100",1,2023
"01100",1,2024
"01101",0,2018
"01101",1,2019
"01101",1,2020
"01101",1,2021
"01101",1,2022
"01101",1,2023
"01101",1,2024
"01102",0,2018
"01102",0,2019
"01102",0,2020
"01102",0,2021
"01102",0,2022
"01102",0,2023
"01102",0,2024
"01103",1,2018
"01103",1,2019
"01103",1,2020
"01103",1,2021
"01103",1,2022
"01103",1,2023
"01103",1,2024
"01104",0,2018
"01104",0,2019
"01104",0,2020
"01104",0,2021
"01104",0,2022
"01104",0,2023
"01104",0,2024
"01105",1,2018
"01105",1,2019
"01105",1,2020
"01105",1,2021
"01105",1,2022
"01105",1,2023
"01105",1,2024
"01106",0,2018
"01106",0,2019
"01106",0,2020
"01106",0,2021
"01106",0,2022
"01106",0,2023
"01106",0,2024
"01107",0,2018
"01107",0,2019
"01107",0,2020
"01107",0,2021
"01107",0,2022
"01107",0,2023
"01107",0,2024
"01108",0,2018
"01108",0,2019
"01108",0,2020
"01108",0,2021
"01108",0,2022
"01108",0,2023
"01108",0,2024
"01109",0,2018
"01109",0,2019
"01109",0,2020
"01109",1,2021
"01109",1,2022
"01109",1,2023
"01109",1,2024
"01110",0,2018
"01110",0,2019
"01110",0,2020
"01110",0,2021
"01110",0,2022
"01110",1,2023
"01110",1,2024
"01111",0,2018
"01111",0,2019
"01111",0,2020
"01111",0,2021
"01111",1,2022
"01111",1,2023
"01111",1,2024
"01112",0,2018
"01112",0,2019
"01112",0,2020
"01112",0,2021
"01112",1,2022
"01112",1,2023
"01112",1,2024
"01113",0,2018
"01113",0,2019
"01113",0,2020
"01113",0,2021
"01113",0,2022
"01113",0,2023
"01113",1,2024
"01114",1,2018
"01114",1,2019
"01114",1,2020
"01114",1,2021
"01114",1,2022
"01114",1,2023
"01114",1,2024
"01115",0,2018
"01115",0,2019
"01115",0,2020
"01115",0,2021
"01115",0,2022
"01115",0,2023
"01115",0,2024
"01116",0,2018
"01116",0,2019
"01116",0,2020
"01116",0,2021
"01116",1,2022
"01116",1,2023
"01116",1,2024
"01117",1,2018
"01117",1,2019
"01117",1,2020
"01117",1,2021
"01117",1,2022
"01117",1,2023
"01117",1,2024
"01118",0,2018
"01118",0,2019
"01118",0,2020
"01118",0,2021
"01118",0,2022
"01118",0,2023
"01118",0,2024
"01121",0,2018
"01121",0,2019
"01121",0,2020
"01121",0,2021
"01121",0,2022
"01121",1,2023
"01121",1,2024
"01122",1,2018
"01122",1,2019
"01122",1,2020
"01123",1,2018
"01123",1,2019
"01123",1,2020
"01123",1,2021
"01123",1,2022
"01123",1,2023
"01123",1,2024
"01124",1,2018
"01124",1,2019
"01124",1,2020
"01124",1,2021
"01124",1,2022
"01124",1,2023
"01124",1,2024
"01125",0,2018
"01125",1,2019
"01125",1,2020
"01125",1,2021
"01125",1,2022
"01125",1,2023
"01125",1,2024
"01127",1,2018
"01127",1,2019
"01127",1,2020
"01127",1,2021
"01127",1,2022
"01127",1,2023
"01127",1,2024
"01128",0,2018
"01128",1,2019
"01128",1,2020
"01128",1,2021
"01128",1,2022
"01128",1,2023
"01128",1,2024
"01129",1,2018
"01129",1,2019
"01129",1,2020
"01129",1,2021
"01129",1,2022
"01129",1,2023
"01129",1,2024
"01130",1,2018
"01130",1,2019
"01130",1,2020
"01130",1,2021
"01130",1,2022
"01130",1,2023
"01130",1,2024
"01133",0,2018
"01133",0,2019
"01133",0,2020
"01133",0,2021
"01133",0,2022
"01133",1,2023
"01133",1,2024
"01134",1,2018
"01134",1,2019
"01134",1,2020
"01134",1,2021
"01134",1,2022
"01134",1,2023
"01134",1,2024
"01135",1,2018
"01135",1,2019
"01135",1,2020
"01135",1,2021
"01135",1,2022
"01135",1,2023
"01135",1,2024
"01136",1,2018
"01136",1,2019
"01136",1,2020
"01136",1,2021
"01136",1,2022
"01136",1,2023
"01136",1,2024
"01138",0,2018
"01138",0,2019
"01138",0,2020
"01138",0,2021
"01138",0,2022
"01138",0,2023
"01138",1,2024
"01139",0,2018
"01139",0,2019
"01139",0,2020
"01139",0,2021
"01139",0,2022
"01139",0,2023
"01139",1,2024
"01140",1,2018
"01140",1,2019
"01140",1,2020
"01140",1,2021
"01140",1,2022
"01140",1,2023
"01140",1,2024
"01141",0,2018
"01141",0,2019
"01141",0,2020
"01141",0,2021
"01141",1,2022
"01141",1,2023
"01141",1,2024
"01142",0,2018
"01142",0,2019
"01142",0,2020
"01142",0,2021
"01142",0,2022
"01142",0,2023
"01142",1,2024
"01143",0,2018
"01143",0,2019
"01143",0,2020
"01143",0,2021
"01143",0,2022
"01143",0,2023
"01143",0,2024
"01145",0,2018
"01145",0,2019
"01145",0,2020
"01145",0,2021
"01145",0,2022
"01145",0,2023
"01145",1,2024
"01146",1,2018
"01146",1,2019
