INSEE_COM,LIBGEO,DENS,LIBDENS,PMUN21,P1,P2,P3,P4,P5,P6,P7,zone_type
38468,Salaise-sur-Sanne,4,Ceintures urbaines,4505,0.0,0.11,0.0,88.02,0.0,10.6,1.27,Urbain
38469,La Salette-Fallavaux,7,Rural à habitat très dispersé,77,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38470,La Salle-en-Beaumont,7,Rural à habitat très dispersé,346,0.0,0.0,0.0,0.0,0.0,48.1,51.9,Rural
38471,Le Sappey-en-Chartreuse,5,Bourgs ruraux,1137,0.0,0.0,0.0,0.0,52.18,45.76,2.06,Rural
38472,Sarcenas,6,Rural à habitat dispersé,242,0.0,0.0,0.0,0.0,0.0,91.23,8.77,Rural
38473,Sardieu,5,Bourgs ruraux,1174,0.0,0.0,0.0,0.0,77.58,15.81,6.61,Rural
38474,Sassenage,1,Grands centres urbains,11660,88.87,0.0,0.0,9.14,0.0,1.74,0.26,Inconnu
38475,Satolas-et-Bonce,5,Bourgs ruraux,2520,0.0,0.0,0.0,0.0,51.91,43.72,4.36,Rural
38476,Savas-Mépin,6,Rural à habitat dispersé,886,0.0,0.0,0.0,0.0,0.0,96.49,3.51,Rural
38478,Séchilienne,5,Bourgs ruraux,1024,0.0,0.0,0.0,0.0,62.6,31.53,5.87,Rural
38479,Porte-des-Bonnevaux,6,Rural à habitat dispersé,2071,0.0,0.0,0.0,0.0,0.0,95.45,4.55,Rural
38480,Septème,6,Rural à habitat dispersé,2143,0.0,0.0,0.0,0.0,39.86,51.62,8.51,Rural
38481,Sérézin-de-la-Tour,6,Rural à habitat dispersé,1133,0.0,0.0,0.0,0.0,0.0,96.97,3.03,Rural
38483,Sermérieu,6,Rural à habitat dispersé,1644,0.0,0.0,0.0,0.0,0.0,97.29,2.71,Rural
38484,Serpaize,5,Bourgs ruraux,2108,0.0,0.0,0.0,0.0,69.01,25.15,5.84,Rural
38485,Seyssinet-Pariset,1,Grands centres urbains,11753,96.54,0.0,0.0,0.0,0.0,3.18,0.28,Inconnu
38486,Seyssins,1,Grands centres urbains,7997,72.46,0.0,0.0,26.94,0.0,0.6,0.0,Inconnu
38487,Seyssuel,4,Ceintures urbaines,2080,0.0,0.0,0.0,87.36,0.0,10.52,2.11,Urbain
38488,Siccieu-Saint-Julien-et-Carisieu,6,Rural à habitat dispersé,593,0.0,0.0,0.0,0.0,0.0,89.99,10.01,Rural
38489,Siévoz,6,Rural à habitat dispersé,133,0.0,0.0,0.0,0.0,0.0,75.35,24.65,Rural
38490,Sillans,5,Bourgs ruraux,1926,0.0,0.0,0.0,0.0,94.81,3.68,1.5,Rural
38492,Sinard,6,Rural à habitat dispersé,714,0.0,0.0,0.0,0.0,0.0,93.12,6.88,Rural
38494,Soleymieu,6,Rural à habitat dispersé,802,0.0,0.0,0.0,0.0,0.0,94.32,5.68,Rural
