INSEE_COM,annee,nb_chomeurs
45178,2018,135
45195,2018,35
45196,2018,85
45208,2018,2400
45218,2018,5
45222,2018,120
45226,2018,85
45228,2018,95
45229,2018,230
45230,2018,50
45232,2018,1365
45233,2018,35
45239,2018,35
45241,2018,30
45243,2018,15
45245,2018,125
45253,2018,110
45255,2018,30
45261,2018,70
45262,2018,10
45265,2018,40
45268,2018,35
45270,2018,145
45271,2018,85
45273,2018,275
45276,2018,35
45277,2018,20
45280,2018,85
45282,2018,165
45283,2018,10
45286,2018,685
45288,2018,40
45289,2018,60
45293,2018,105
45296,2018,40
45298,2018,480
45299,2018,15
45301,2018,20
45306,2018,45
45307,2018,75
45308,2018,200
45310,2018,115
45315,2018,585
45317,2018,85
45334,2018,40
45338,2018,565
45346,2018,125
45348,2018,45
72053,2018,85
72054,2018,265
72059,2018,65
72060,2018,35
72064,2018,30
72065,2018,135
72073,2018,80
72075,2018,65
72079,2018,25
72085,2018,10
72088,2018,15
72089,2018,155
72090,2018,215
72094,2018,45
72095,2018,1010
72100,2018,30
72101,2018,55
72123,2018,0
72125,2018,10
72128,2018,50
72129,2018,45
72130,2018,40
72133,2018,95
72135,2018,50
72138,2018,255
72143,2018,135
72145,2018,30
72146,2018,180
72149,2018,45
72153,2018,65
72154,2018,1420
72156,2018,85
72158,2018,65
72160,2018,50
72161,2018,70
72163,2018,40
72167,2018,60
72170,2018,15
72172,2018,105
72181,2018,18020
72182,2018,120
72184,2018,30
72185,2018,50
72186,2018,70
72190,2018,20
72191,2018,245
72200,2018,235
72201,2018,20
72202,2018,20
72208,2018,20
72209,2018,20
72210,2018,25
72214,2018,0
72215,2018,85
72217,2018,125
72222,2018,20
72226,2018,100
72229,2018,40
72230,2018,75
72235,2018,25
72237,2018,45
72241,2018,200
72243,2018,130
72244,2018,210
72245,2018,45
72246,2018,15
72247,2018,90
72249,2018,45
72250,2018,10
72254,2018,15
72256,2018,70
72257,2018,100
72260,2018,190
72264,2018,1515
72265,2018,30
72269,2018,225
72271,2018,65
72275,2018,75
72276,2018,165
72277,2018,10
72279,2018,5
72283,2018,50
72286,2018,35
72292,2018,10
72296,2018,55
72297,2018,25
72299,2018,185
72310,2018,85
72317,2018,30
72323,2018,35
72326,2018,15
72331,2018,60
72333,2018,30
72347,2018,20
72349,2018,35
72350,2018,230
72351,2018,75
72353,2018,15
72364,2018,165
72366,2018,20
72370,2018,25
72372,2018,5
72377,2018,60
72381,2018,80
72383,2018,10
73004,2018,45
73012,2018,10
73014,2018,15
73024,2018,70
73031,2018,300
73036,2018,40
73039,2018,35
73041,2018,15
73050,2018,40
73051,2018,270
73052,2018,10
73054,2018,925
73063,2018,50
73064,2018,310
73065,2018,5485
73068,2018,40
73073,2018,50
73075,2018,30
73076,2018,15
73081,2018,45
73083,2018,20
73092,2018,15
73094,2018,45
73096,2018,60
73097,2018,40
73098,2018,70
73099,2018,15
73109,2018,55
73114,2018,55
73117,2018,45
73120,2018,50
73121,2018,125
73133,2018,20
73137,2018,230
73138,2018,35
73139,2018,15
73140,2018,10
73150,2018,405
73151,2018,205
73152,2018,5
73153,2018,60
73154,2018,135
73156,2018,15
73160,2018,40
73161,2018,50
73164,2018,70
73171,2018,425
73179,2018,725
73187,2018,235
73188,2018,40
73189,2018,20
73190,2018,15
73193,2018,10
73194,2018,25
73196,2018,35
73204,2018,180
73206,2018,115
73220,2018,20
73225,2018,135
73229,2018,40
73230,2018,5
73233,2018,10
73241,2018,70
73247,2018,70
73249,2018,105
73253,2018,45
73254,2018,15
73261,2018,165
73262,2018,20
73265,2018,40
73267,2018,15
73270,2018,310
73275,2018,20
73278,2018,90
73282,2018,65
73284,2018,90
73285,2018,225
73289,2018,30
73290,2018,225
73293,2018,30
73294,2018,30
73303,2018,485
73307,2018,45
73309,2018,15
73313,2018,20
73318,2018,50
73320,2018,65
73326,2018,110
73329,2018,130
74001,2018,100
74005,2018,260
74007,2018,125
74008,2018,655
74010,2018,10005
74012,2018,4265
74013,2018,125
74016,2018,120
74018,2018,110
74020,2018,55
74025,2018,85
74027,2018,25
74030,2018,25
74031,2018,175
74038,2018,80
74044,2018,40
74050,2018,35
74052,2018,55
74059,2018,15
74062,2018,75
74064,2018,70
74067,2018,105
74069,2018,25
74070,2018,195
74072,2018,10
74073,2018,45
74076,2018,100
74083,2018,145
74088,2018,55
74090,2018,85
74096,2018,290
74099,2018,55
74103,2018,125
74109,2018,65
74112,2018,525
74116,2018,95
74117,2018,40
74119,2018,865
74123,2018,610
74124,2018,85
74127,2018,95
74134,2018,125
74139,2018,65
74140,2018,105
74144,2018,40
74148,2018,20
74151,2018,40
74152,2018,70
74156,2018,40
74160,2018,60
74162,2018,65
74164,2018,430
74166,2018,115
74168,2018,65
74174,2018,25
74175,2018,40
74178,2018,35
74193,2018,55
74195,2018,25
74199,2018,15
74202,2018,40
74205,2018,95
74208,2018,770
74211,2018,145
74212,2018,135
74219,2018,45
74236,2018,455
74240,2018,55
74241,2018,270
74242,2018,315
74249,2018,165
74252,2018,50
74256,2018,1095
74257,2018,50
74262,2018,75
74263,2018,505
74265,2018,45
74266,2018,70
74267,2018,270
74273,2018,60
74275,2018,155
74276,2018,285
74280,2018,450
74282,2018,470
74284,2018,60
74292,2018,45
74295,2018,25
74296,2018,35
74310,2018,55
75056,2018,204405
75102,2018,2305
75108,2018,2420
75111,2018,16180
75119,2018,24105
76005,2018,355
76006,2018,15
76007,2018,35
76008,2018,45
76011,2018,10
76012,2018,15
76013,2018,80
76018,2018,100
76022,2018,15
76023,2018,35
76025,2018,35
76028,2018,25
76036,2018,35
76043,2018,55
76047,2018,10
76049,2018,25
76052,2018,20
76053,2018,10
76065,2018,30
76066,2018,10
76074,2018,0
76077,2018,10
76079,2018,15
76086,2018,10
76092,2018,45
76099,2018,30
76100,2018,70
76108,2018,705
76114,2018,1530
76115,2018,35
76117,2018,45
76118,2018,15
76119,2018,10
76120,2018,25
76123,2018,50
76124,2018,30
76128,2018,40
76130,2018,15
76133,2018,30
76134,2018,30
76138,2018,20
76140,2018,20
76141,2018,100
76144,2018,10
76152,2018,45
76153,2018,20
76154,2018,45
76155,2018,30
76164,2018,390
76169,2018,65
76175,2018,15
76178,2018,670
76179,2018,100
76184,2018,5
76188,2018,25
76190,2018,20
76192,2018,255
76193,2018,15
76198,2018,55
76200,2018,25
76203,2018,40
76204,2018,20
76205,2018,15
76207,2018,15
76210,2018,45
76213,2018,30
76218,2018,5
76221,2018,10
76224,2018,45
76230,2018,25
76231,2018,2550
76232,2018,50
76235,2018,185
76237,2018,40
76242,2018,15
76245,2018,75
76249,2018,50
76251,2018,35
76259,2018,2260
76260,2018,120
76265,2018,5
76269,2018,5
76272,2018,75
76274,2018,5
76276,2018,320
76278,2018,75
76280,2018,10
76282,2018,40
76283,2018,10
76285,2018,30
76286,2018,50
76287,2018,50
76290,2018,25
76299,2018,20
