"INSEE_COM","annee","nb_chomeurs"
"02074",2017,55
"02075",2016,15
"02075",2017,20
"02076",2016,5
"02076",2017,10
"02078",2016,10
"02078",2017,15
"02079",2016,10
"02079",2017,5
"02080",2016,30
"02080",2017,30
"02081",2016,30
"02081",2017,35
"02082",2016,10
"02082",2017,5
"02083",2016,45
"02083",2017,45
"02084",2016,20
"02084",2017,15
"02085",2016,75
"02085",2017,85
"02086",2016,90
"02086",2017,90
"02087",2016,5
"02087",2017,0
"02088",2016,0
"02088",2017,0
"02089",2016,95
"02089",2017,85
"02090",2016,25
"02090",2017,25
"02091",2016,5
"02091",2017,5
"02093",2016,115
"02093",2017,135
"02094",2016,35
"02094",2017,30
"02095",2016,820
"02095",2017,820
"02096",2016,20
"02096",2017,20
"02097",2016,20
"02097",2017,20
"02098",2016,30
"02098",2017,25
"02099",2016,15
"02099",2017,15
"02100",2016,15
"02100",2017,15
"02101",2016,10
"02101",2017,10
"02102",2016,15
"02102",2017,10
"02103",2016,135
"02103",2017,130
"02104",2016,5
"02104",2017,0
"02105",2016,20
"02105",2017,15
"02106",2016,80
"02106",2017,80
"02107",2016,10
"02107",2017,10
"02108",2016,10
"02108",2017,10
"02109",2016,50
"02109",2017,50
"02110",2016,215
"02110",2017,230
"02111",2016,55
"02111",2017,70
"02112",2016,50
"02112",2017,45
"02114",2016,110
"02114",2017,120
"02115",2016,20
"02115",2017,20
"02116",2016,10
"02116",2017,10
"02117",2016,5
"02117",2017,5
"02118",2016,5
"02118",2017,10
"02119",2016,25
"02119",2017,35
"02120",2016,25
"02120",2017,20
"02121",2016,30
"02121",2017,20
"02122",2016,0
"02122",2017,0
"02123",2016,30
"02123",2017,25
"02124",2016,55
"02124",2017,60
"02125",2016,5
"02125",2017,10
"02126",2016,40
"02126",2017,50
"02127",2016,15
"02127",2017,15
"02128",2016,115
"02128",2017,120
"02129",2016,0
"02129",2017,0
"02130",2016,15
"02130",2017,15
"02131",2016,155
"02131",2017,160
"02132",2016,20
"02132",2017,15
"02133",2016,40
"02133",2017,35
"02134",2016,70
"02134",2017,80
"02135",2016,95
"02135",2017,100
"02136",2016,20
"02136",2017,20
"02137",2016,10
"02137",2017,5
"02138",2016,15
"02138",2017,15
"02139",2016,40
"02139",2017,35
"02140",2016,35
"02140",2017,30
"02141",2016,175
"02141",2017,190
"02142",2016,25
"02142",2017,20
"02143",2016,25
"02143",2017,20
"02144",2016,10
"02144",2017,10
"02145",2016,45
"02145",2017,40
"02146",2016,5
"02146",2017,5
"02148",2016,15
"02148",2017,15
"02149",2016,5
"02149",2017,5
"02150",2016,5
"02150",2017,5
"02151",2016,0
"02151",2017,0
"02152",2016,5
"02152",2017,10
"02153",2016,55
"02153",2017,60
"02154",2016,40
"02154",2017,35
"02155",2016,15
"02155",2017,15
"02156",2016,15
"02156",2017,15
"02157",2016,65
"02157",2017,70
"02158",2016,30
"02158",2017,30
"02159",2016,25
